1600964838 INTERNAL *** MONITORD_STARTED ***
1600964836 INTERNAL *** DAGMAN_STARTED 433.0 ***
1600964840 stage_out_local_local_1000_0 SUBMIT 434.0 local - 1
1600964840 create_dir_Cats_and_Dogs_0_local SUBMIT 435.0 local - 2
1600964841 stage_out_local_local_1000_0 EXECUTE 434.0 local - 1
1600964841 create_dir_Cats_and_Dogs_0_local EXECUTE 435.0 local - 2
1600964843 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 435.0 local - 2
1600964845 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 2
1600964845 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 435.0 local - 2
1600964843 stage_out_local_local_1000_0 JOB_TERMINATED 434.0 local - 1
1600964845 stage_out_local_local_1000_0 JOB_SUCCESS 0 local - 1
1600964845 stage_out_local_local_1000_0 POST_SCRIPT_STARTED 434.0 local - 1
1600964845 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 435.0 local - 2
1600964850 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 2
1600964846 stage_out_local_local_1000_0 POST_SCRIPT_TERMINATED 434.0 local - 1
1600964850 stage_out_local_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 1
1600964855 stage_in_remote_local_2_0 SUBMIT 436.0 local - 3
1600964855 stage_in_remote_local_1_0 SUBMIT 437.0 local - 4
1600964855 stage_in_remote_local_0_0 SUBMIT 438.0 local - 5
1600964855 stage_in_local_local_0_0 SUBMIT 439.0 local - 6
1600964855 stage_in_remote_local_3_0 SUBMIT 440.0 local - 7
1600964855 register_local_1000_0 SUBMIT 441.0 local - 8
1600964856 stage_in_remote_local_1_0 EXECUTE 437.0 local - 4
1600964856 stage_in_remote_local_3_0 EXECUTE 440.0 local - 7
1600964856 stage_in_remote_local_2_0 EXECUTE 436.0 local - 3
1600964856 stage_in_local_local_0_0 EXECUTE 439.0 local - 6
1600964856 stage_in_remote_local_0_0 EXECUTE 438.0 local - 5
1600964856 register_local_1000_0 EXECUTE 441.0 local - 8
1600964858 register_local_1000_0 JOB_TERMINATED 441.0 local - 8
1600964860 register_local_1000_0 JOB_SUCCESS 0 local - 8
1600964860 register_local_1000_0 POST_SCRIPT_STARTED 441.0 local - 8
1600964858 stage_in_remote_local_2_0 JOB_TERMINATED 436.0 local - 3
1600964860 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 3
1600964860 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 436.0 local - 3
1600964858 stage_in_remote_local_3_0 JOB_TERMINATED 440.0 local - 7
1600964860 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 7
1600964860 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 440.0 local - 7
1600964858 stage_in_remote_local_1_0 JOB_TERMINATED 437.0 local - 4
1600964860 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 4
1600964860 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 437.0 local - 4
1600964858 stage_in_remote_local_0_0 JOB_TERMINATED 438.0 local - 5
1600964860 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 5
1600964860 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 438.0 local - 5
1600964860 register_local_1000_0 POST_SCRIPT_TERMINATED 441.0 local - 8
1600964865 register_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 8
1600964860 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 440.0 local - 7
1600964865 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1600964860 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 436.0 local - 3
1600964865 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 3
1600964860 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 437.0 local - 4
1600964865 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1600964860 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 438.0 local - 5
1600964865 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1600964861 stage_in_local_local_0_0 JOB_TERMINATED 439.0 local - 6
1600964865 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 6
1600964865 stage_in_local_local_0_0 POST_SCRIPT_STARTED 439.0 local - 6
1600964865 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 439.0 local - 6
1600964870 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1600964876 preprocess1_py_ID0000001 SUBMIT 442.0 condorpool - 9
1600964883 preprocess1_py_ID0000001 EXECUTE 442.0 condorpool - 9
1600964886 preprocess1_py_ID0000001 JOB_TERMINATED 442.0 condorpool - 9
1600964891 preprocess1_py_ID0000001 JOB_SUCCESS 0 condorpool - 9
1600964891 preprocess1_py_ID0000001 POST_SCRIPT_STARTED 442.0 condorpool - 9
1600964891 preprocess1_py_ID0000001 POST_SCRIPT_TERMINATED 442.0 condorpool - 9
1600964896 preprocess1_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 9
1600964901 clean_up_local_level_3_0 SUBMIT 443.0 local - 10
1600964901 stage_out_local_local_0_0 SUBMIT 444.0 local - 11
1600964901 Augmentation_py_ID0000002 SUBMIT 445.0 condorpool - 12
1600964902 Augmentation_py_ID0000002 EXECUTE 445.0 condorpool - 12
1600964906 clean_up_local_level_3_0 EXECUTE 443.0 local - 10
1600964906 stage_out_local_local_0_0 EXECUTE 444.0 local - 11
1600964906 Augmentation_py_ID0000002 JOB_TERMINATED 445.0 condorpool - 12
1600964906 Augmentation_py_ID0000002 JOB_SUCCESS 0 condorpool - 12
1600964906 Augmentation_py_ID0000002 POST_SCRIPT_STARTED 445.0 condorpool - 12
1600964906 Augmentation_py_ID0000002 POST_SCRIPT_TERMINATED 445.0 condorpool - 12
1600964912 Augmentation_py_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 12
1600964910 stage_out_local_local_0_0 JOB_TERMINATED 444.0 local - 11
1600964912 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 11
1600964912 stage_out_local_local_0_0 POST_SCRIPT_STARTED 444.0 local - 11
1600964912 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 444.0 local - 11
1600964917 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 11
1600964917 stage_out_local_local_1_0 SUBMIT 446.0 local - 13
1600964917 Data_Split_py_ID0000003 SUBMIT 447.0 condorpool - 14
1600964919 Data_Split_py_ID0000003 EXECUTE 447.0 condorpool - 14
1600964920 clean_up_local_level_3_0 JOB_TERMINATED 443.0 local - 10
1600964922 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 10
1600964922 clean_up_local_level_3_0 POST_SCRIPT_STARTED 443.0 local - 10
1600964920 stage_out_local_local_1_0 EXECUTE 446.0 local - 13
1600964921 Data_Split_py_ID0000003 JOB_TERMINATED 447.0 condorpool - 14
1600964922 Data_Split_py_ID0000003 JOB_SUCCESS 0 condorpool - 14
1600964922 Data_Split_py_ID0000003 POST_SCRIPT_STARTED 447.0 condorpool - 14
1600964922 clean_up_local_level_4_0 SUBMIT 448.0 local - 15
1600964922 register_local_0_0 SUBMIT 449.0 local - 16
1600964922 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 443.0 local - 10
1600964927 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 10
1600964922 Data_Split_py_ID0000003 POST_SCRIPT_TERMINATED 447.0 condorpool - 14
1600964927 Data_Split_py_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 14
1600964926 register_local_0_0 EXECUTE 449.0 local - 16
1600964926 clean_up_local_level_4_0 EXECUTE 448.0 local - 15
1600964928 register_local_0_0 JOB_TERMINATED 449.0 local - 16
1600964932 register_local_0_0 JOB_SUCCESS 0 local - 16
1600964932 register_local_0_0 POST_SCRIPT_STARTED 449.0 local - 16
1600964928 stage_out_local_local_1_0 JOB_TERMINATED 446.0 local - 13
1600964932 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 13
1600964932 stage_out_local_local_1_0 POST_SCRIPT_STARTED 446.0 local - 13
1600964932 stage_out_local_local_2_0 SUBMIT 450.0 local - 17
1600964932 VGG_model_py_ID0000004 SUBMIT 451.0 condorpool - 18
1600964933 register_local_0_0 POST_SCRIPT_TERMINATED 449.0 local - 16
1600964938 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 16
1600964933 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 446.0 local - 13
1600964938 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 13
1600964934 VGG_model_py_ID0000004 EXECUTE 451.0 condorpool - 18
1600964936 stage_out_local_local_2_0 EXECUTE 450.0 local - 17
1600964940 stage_out_local_local_2_0 JOB_TERMINATED 450.0 local - 17
1600964943 stage_out_local_local_2_0 JOB_SUCCESS 0 local - 17
1600964943 stage_out_local_local_2_0 POST_SCRIPT_STARTED 450.0 local - 17
1600964942 clean_up_local_level_4_0 JOB_TERMINATED 448.0 local - 15
1600964943 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 15
1600964943 clean_up_local_level_4_0 POST_SCRIPT_STARTED 448.0 local - 15
1600964943 clean_up_local_level_5_0 SUBMIT 452.0 local - 19
1600964943 clean_up_local_level_5_0 EXECUTE 452.0 local - 19
1600964943 register_local_1_0 SUBMIT 453.0 local - 20
1600964943 stage_out_local_local_2_0 POST_SCRIPT_TERMINATED 450.0 local - 17
1600964948 stage_out_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 17
1600964943 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 448.0 local - 15
1600964948 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 15
1600964946 register_local_1_0 EXECUTE 453.0 local - 20
1600964948 register_local_1_0 JOB_TERMINATED 453.0 local - 20
1600964948 register_local_1_0 JOB_SUCCESS 0 local - 20
1600964948 register_local_1_0 POST_SCRIPT_STARTED 453.0 local - 20
1600964948 register_local_1_0 POST_SCRIPT_TERMINATED 453.0 local - 20
1600964953 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 20
1600964951 clean_up_local_level_5_0 JOB_TERMINATED 452.0 local - 19
1600964953 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 19
1600964953 clean_up_local_level_5_0 POST_SCRIPT_STARTED 452.0 local - 19
1600964953 register_local_2_0 SUBMIT 454.0 local - 21
1600964953 register_local_2_0 EXECUTE 454.0 local - 21
1600964954 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 452.0 local - 19
1600964958 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 19
1600964956 register_local_2_0 JOB_TERMINATED 454.0 local - 21
1600964958 register_local_2_0 JOB_SUCCESS 0 local - 21
1600964958 register_local_2_0 POST_SCRIPT_STARTED 454.0 local - 21
1600964958 register_local_2_0 POST_SCRIPT_TERMINATED 454.0 local - 21
1600964963 register_local_2_0 POST_SCRIPT_SUCCESS 0 local - 21
1600964969 VGG_model_py_ID0000004 JOB_TERMINATED 451.0 condorpool - 18
1600964973 VGG_model_py_ID0000004 JOB_SUCCESS 0 condorpool - 18
1600964973 VGG_model_py_ID0000004 POST_SCRIPT_STARTED 451.0 condorpool - 18
1600964973 VGG_model_py_ID0000004 POST_SCRIPT_TERMINATED 451.0 condorpool - 18
1600964978 VGG_model_py_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 18
1600964983 clean_up_local_level_6_0 SUBMIT 455.0 local - 22
1600964983 stage_out_local_local_3_0 SUBMIT 456.0 local - 23
1600964986 clean_up_local_level_6_0 EXECUTE 455.0 local - 22
1600964986 stage_out_local_local_3_0 EXECUTE 456.0 local - 23
1600964989 stage_out_local_local_3_0 JOB_TERMINATED 456.0 local - 23
1600964993 stage_out_local_local_3_0 JOB_SUCCESS 0 local - 23
1600964993 stage_out_local_local_3_0 POST_SCRIPT_STARTED 456.0 local - 23
1600964994 stage_out_local_local_3_0 POST_SCRIPT_TERMINATED 456.0 local - 23
1600964998 stage_out_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 23
1600965002 clean_up_local_level_6_0 JOB_TERMINATED 455.0 local - 22
1600965003 clean_up_local_level_6_0 JOB_SUCCESS 0 local - 22
1600965003 clean_up_local_level_6_0 POST_SCRIPT_STARTED 455.0 local - 22
1600965003 clean_up_local_level_7_0 SUBMIT 457.0 local - 24
