1600115499 INTERNAL *** MONITORD_STARTED ***
1600115497 INTERNAL *** DAGMAN_STARTED 148.0 ***
1600115501 stage_out_local_local_1000_0 SUBMIT 149.0 local - 1
1600115501 stage_out_local_local_1000_1 SUBMIT 150.0 local - 2
1600115501 create_dir_Cats_and_Dogs_0_local SUBMIT 151.0 local - 3
1600115502 stage_out_local_local_1000_0 EXECUTE 149.0 local - 1
1600115502 stage_out_local_local_1000_1 EXECUTE 150.0 local - 2
1600115502 create_dir_Cats_and_Dogs_0_local EXECUTE 151.0 local - 3
1600115504 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 151.0 local - 3
1600115506 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 3
1600115506 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 151.0 local - 3
1600115504 stage_out_local_local_1000_0 JOB_TERMINATED 149.0 local - 1
1600115506 stage_out_local_local_1000_0 JOB_SUCCESS 0 local - 1
1600115506 stage_out_local_local_1000_0 POST_SCRIPT_STARTED 149.0 local - 1
1600115504 stage_out_local_local_1000_1 JOB_TERMINATED 150.0 local - 2
1600115506 stage_out_local_local_1000_1 JOB_SUCCESS 0 local - 2
1600115506 stage_out_local_local_1000_1 POST_SCRIPT_STARTED 150.0 local - 2
1600115506 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 151.0 local - 3
1600115511 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 3
1600115506 stage_out_local_local_1000_1 POST_SCRIPT_TERMINATED 150.0 local - 2
1600115511 stage_out_local_local_1000_1 POST_SCRIPT_SUCCESS 0 local - 2
1600115506 stage_out_local_local_1000_0 POST_SCRIPT_TERMINATED 149.0 local - 1
1600115511 stage_out_local_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 1
1600115516 stage_in_remote_local_2_0 SUBMIT 152.0 local - 4
1600115516 stage_in_remote_local_1_0 SUBMIT 153.0 local - 5
1600115516 stage_in_remote_local_0_0 SUBMIT 154.0 local - 6
1600115516 stage_in_local_local_0_0 SUBMIT 155.0 local - 7
1600115517 stage_in_remote_local_2_0 EXECUTE 152.0 local - 4
1600115517 stage_in_remote_local_1_0 EXECUTE 153.0 local - 5
1600115517 stage_in_remote_local_0_0 EXECUTE 154.0 local - 6
1600115517 stage_in_remote_local_3_0 SUBMIT 156.0 local - 8
1600115517 stage_in_local_local_0_0 EXECUTE 155.0 local - 7
1600115517 register_local_1000_1 SUBMIT 157.0 local - 9
1600115519 stage_in_remote_local_2_0 JOB_TERMINATED 152.0 local - 4
1600115522 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 4
1600115522 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 152.0 local - 4
1600115519 stage_in_remote_local_1_0 JOB_TERMINATED 153.0 local - 5
1600115522 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 5
1600115522 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 153.0 local - 5
1600115519 stage_in_remote_local_0_0 JOB_TERMINATED 154.0 local - 6
1600115522 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 6
1600115522 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 154.0 local - 6
1600115519 stage_in_remote_local_3_0 EXECUTE 156.0 local - 8
1600115519 register_local_1000_1 EXECUTE 157.0 local - 9
1600115521 register_local_1000_1 JOB_TERMINATED 157.0 local - 9
1600115522 register_local_1000_1 JOB_SUCCESS 0 local - 9
1600115522 register_local_1000_1 POST_SCRIPT_STARTED 157.0 local - 9
1600115521 stage_in_remote_local_3_0 JOB_TERMINATED 156.0 local - 8
1600115522 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 8
1600115522 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 156.0 local - 8
1600115522 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 152.0 local - 4
1600115527 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 4
1600115522 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 153.0 local - 5
1600115527 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 5
1600115522 register_local_1000_1 POST_SCRIPT_TERMINATED 157.0 local - 9
1600115527 register_local_1000_1 POST_SCRIPT_SUCCESS 0 local - 9
1600115522 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 154.0 local - 6
1600115527 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1600115522 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 156.0 local - 8
1600115527 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 8
1600115527 register_local_1000_0 SUBMIT 158.0 local - 10
1600115532 register_local_1000_0 EXECUTE 158.0 local - 10
1600115534 register_local_1000_0 JOB_TERMINATED 158.0 local - 10
1600115537 register_local_1000_0 JOB_SUCCESS 0 local - 10
1600115537 register_local_1000_0 POST_SCRIPT_STARTED 158.0 local - 10
1600115538 register_local_1000_0 POST_SCRIPT_TERMINATED 158.0 local - 10
1600115542 register_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 10
1600115545 stage_in_local_local_0_0 JOB_TERMINATED 155.0 local - 7
1600115547 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 7
1600115547 stage_in_local_local_0_0 POST_SCRIPT_STARTED 155.0 local - 7
1600115548 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 155.0 local - 7
1600115552 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1600115557 preprocess1_py_ID0000001 SUBMIT 159.0 condorpool - 11
1600115565 preprocess1_py_ID0000001 EXECUTE 159.0 condorpool - 11
1600115571 preprocess1_py_ID0000001 JOB_TERMINATED 159.0 condorpool - 11
1600115572 preprocess1_py_ID0000001 JOB_SUCCESS 0 condorpool - 11
1600115572 preprocess1_py_ID0000001 POST_SCRIPT_STARTED 159.0 condorpool - 11
1600115573 preprocess1_py_ID0000001 POST_SCRIPT_TERMINATED 159.0 condorpool - 11
1600115577 preprocess1_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 11
1600115582 clean_up_local_level_3_0 SUBMIT 160.0 local - 12
1600115582 stage_out_local_local_0_0 SUBMIT 161.0 local - 13
1600115582 Augmentation_py_ID0000002 SUBMIT 162.0 condorpool - 14
1600115585 Augmentation_py_ID0000002 EXECUTE 162.0 condorpool - 14
1600115587 clean_up_local_level_3_0 EXECUTE 160.0 local - 12
1600115587 stage_out_local_local_0_0 EXECUTE 161.0 local - 13
1600115601 Augmentation_py_ID0000002 JOB_TERMINATED 162.0 condorpool - 14
1600115602 Augmentation_py_ID0000002 JOB_SUCCESS 0 condorpool - 14
1600115602 Augmentation_py_ID0000002 POST_SCRIPT_STARTED 162.0 condorpool - 14
1600115603 clean_up_local_level_3_0 JOB_TERMINATED 160.0 local - 12
1600115607 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 12
1600115607 clean_up_local_level_3_0 POST_SCRIPT_STARTED 160.0 local - 12
1600115606 Augmentation_py_ID0000002 POST_SCRIPT_TERMINATED 162.0 condorpool - 14
1600115607 Augmentation_py_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 14
1600115607 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 160.0 local - 12
1600115613 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 12
1600115611 stage_out_local_local_0_0 JOB_TERMINATED 161.0 local - 13
1600115613 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 13
1600115613 stage_out_local_local_0_0 POST_SCRIPT_STARTED 161.0 local - 13
1600115612 stage_out_local_local_1_0 SUBMIT 163.0 local - 15
1600115613 Data_Split_py_ID0000003 SUBMIT 164.0 condorpool - 16
1600115613 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 161.0 local - 13
1600115618 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 13
1600115617 Data_Split_py_ID0000003 EXECUTE 164.0 condorpool - 16
1600115617 stage_out_local_local_1_0 EXECUTE 163.0 local - 15
1600115623 clean_up_local_level_4_0 SUBMIT 165.0 local - 17
1600115624 register_local_0_0 SUBMIT 166.0 local - 18
1600115626 Data_Split_py_ID0000003 JOB_TERMINATED 164.0 condorpool - 16
1600115629 Data_Split_py_ID0000003 JOB_SUCCESS 0 condorpool - 16
1600115629 Data_Split_py_ID0000003 POST_SCRIPT_STARTED 164.0 condorpool - 16
1600115627 clean_up_local_level_4_0 EXECUTE 165.0 local - 17
1600115627 register_local_0_0 EXECUTE 166.0 local - 18
1600115630 Data_Split_py_ID0000003 POST_SCRIPT_TERMINATED 164.0 condorpool - 16
1600115634 Data_Split_py_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 16
1600115631 register_local_0_0 JOB_TERMINATED 166.0 local - 18
1600115634 register_local_0_0 JOB_SUCCESS 0 local - 18
1600115634 register_local_0_0 POST_SCRIPT_STARTED 166.0 local - 18
1600115634 register_local_0_0 POST_SCRIPT_TERMINATED 166.0 local - 18
1600115640 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 18
1600115639 stage_out_local_local_2_0 SUBMIT 167.0 local - 19
1600115640 VGG_model_py_ID0000004 SUBMIT 168.0 condorpool - 20
1600115642 stage_out_local_local_2_0 EXECUTE 167.0 local - 19
1600115643 clean_up_local_level_4_0 JOB_TERMINATED 165.0 local - 17
1600115645 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 17
1600115645 clean_up_local_level_4_0 POST_SCRIPT_STARTED 165.0 local - 17
1600115644 VGG_model_py_ID0000004 EXECUTE 168.0 condorpool - 20
1600115645 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 165.0 local - 17
1600115650 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 17
1600115646 stage_out_local_local_2_0 JOB_TERMINATED 167.0 local - 19
1600115650 stage_out_local_local_2_0 JOB_SUCCESS 0 local - 19
1600115650 stage_out_local_local_2_0 POST_SCRIPT_STARTED 167.0 local - 19
1600115651 stage_out_local_local_2_0 POST_SCRIPT_TERMINATED 167.0 local - 19
1600115655 stage_out_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 19
1600115660 register_local_2_0 SUBMIT 169.0 local - 21
1600115662 register_local_2_0 EXECUTE 169.0 local - 21
1600115666 register_local_2_0 JOB_TERMINATED 169.0 local - 21
1600115670 register_local_2_0 JOB_SUCCESS 0 local - 21
1600115670 register_local_2_0 POST_SCRIPT_STARTED 169.0 local - 21
1600115670 register_local_2_0 POST_SCRIPT_TERMINATED 169.0 local - 21
1600115675 register_local_2_0 POST_SCRIPT_SUCCESS 0 local - 21
1600115690 stage_out_local_local_1_0 JOB_TERMINATED 163.0 local - 15
1600115690 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 15
1600115690 stage_out_local_local_1_0 POST_SCRIPT_STARTED 163.0 local - 15
1600115691 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 163.0 local - 15
1600115695 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 15
1600115700 clean_up_local_level_5_0 SUBMIT 170.0 local - 22
1600115700 register_local_1_0 SUBMIT 171.0 local - 23
1600115702 clean_up_local_level_5_0 EXECUTE 170.0 local - 22
1600115702 register_local_1_0 EXECUTE 171.0 local - 23
1600115707 register_local_1_0 JOB_TERMINATED 171.0 local - 23
1600115710 register_local_1_0 JOB_SUCCESS 0 local - 23
1600115710 register_local_1_0 POST_SCRIPT_STARTED 171.0 local - 23
1600115710 clean_up_local_level_5_0 JOB_TERMINATED 170.0 local - 22
1600115715 clean_up_local_level_5_0 JOB_SUCCESS 0 local - 22
1600115715 clean_up_local_level_5_0 POST_SCRIPT_STARTED 170.0 local - 22
1600115710 register_local_1_0 POST_SCRIPT_TERMINATED 171.0 local - 23
1600115715 register_local_1_0 POST_SCRIPT_SUCCESS 0 local - 23
1600115716 clean_up_local_level_5_0 POST_SCRIPT_TERMINATED 170.0 local - 22
1600115720 clean_up_local_level_5_0 POST_SCRIPT_SUCCESS 0 local - 22
1600116489 VGG_model_py_ID0000004 JOB_TERMINATED 168.0 condorpool - 20
1600116490 VGG_model_py_ID0000004 JOB_SUCCESS 0 condorpool - 20
1600116490 VGG_model_py_ID0000004 POST_SCRIPT_STARTED 168.0 condorpool - 20
1600116490 VGG_model_py_ID0000004 POST_SCRIPT_TERMINATED 168.0 condorpool - 20
1600116495 VGG_model_py_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 20
1600116500 clean_up_local_level_6_0 SUBMIT 172.0 local - 24
1600116500 stage_out_local_local_3_0 SUBMIT 173.0 local - 25
1600116502 clean_up_local_level_6_0 EXECUTE 172.0 local - 24
1600116502 stage_out_local_local_3_0 EXECUTE 173.0 local - 25
1600116505 stage_out_local_local_3_0 JOB_TERMINATED 173.0 local - 25
1600116506 stage_out_local_local_3_0 JOB_SUCCESS 0 local - 25
1600116506 stage_out_local_local_3_0 POST_SCRIPT_STARTED 173.0 local - 25
1600116506 stage_out_local_local_3_0 POST_SCRIPT_TERMINATED 173.0 local - 25
1600116511 stage_out_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 25
1600116516 clean_up_local_level_7_0 SUBMIT 174.0 local - 26
1600116516 register_local_3_0 SUBMIT 175.0 local - 27
1600116517 clean_up_local_level_7_0 EXECUTE 174.0 local - 26
1600116517 register_local_3_0 EXECUTE 175.0 local - 27
1600116518 clean_up_local_level_6_0 JOB_TERMINATED 172.0 local - 24
1600116521 clean_up_local_level_6_0 JOB_SUCCESS 0 local - 24
1600116521 clean_up_local_level_6_0 POST_SCRIPT_STARTED 172.0 local - 24
1600116519 clean_up_local_level_7_0 JOB_TERMINATED 174.0 local - 26
1600116521 clean_up_local_level_7_0 JOB_SUCCESS 0 local - 26
1600116521 clean_up_local_level_7_0 POST_SCRIPT_STARTED 174.0 local - 26
1600116519 register_local_3_0 JOB_TERMINATED 175.0 local - 27
1600116521 register_local_3_0 JOB_SUCCESS 0 local - 27
1600116521 register_local_3_0 POST_SCRIPT_STARTED 175.0 local - 27
1600116521 register_local_3_0 POST_SCRIPT_TERMINATED 175.0 local - 27
1600116526 register_local_3_0 POST_SCRIPT_SUCCESS 0 local - 27
